promotion,date,rating,comment_,mark?,comment_clean,total_words
wwe,2022-02-19,2.0," ""2022 Edit: Vince McMahon, thank you for the memories for the past 40 years you've given to the industry, but it's time to go. I have grown fed up from the dog shit booking that just makes me depressive about it. I'm just glad WWE isn't the only reliable option to watch at the moment.""",Not a Mark,edit vince mcmahon thank you for the memories for the past years youve given to the industry but its time to go i have grown fed up from the dog shit booking that just makes me depressive about it im just glad wwe isnt the only reliable option to watch at the moment,53
wwe,2022-02-19,0.0," ""why a zero? Covering up Jimmy Snuka's murder (despite deleting Chris Benoit, which is still the right choice, but they STILL used Jimmy and put him in the HoF? ) / covering up Steve Austin's wifebeater stuff / ignoring Carlos Colon's past / pushing every samoan even if they couldn't wrestle / burying Christian, Zack Ryder, Daniel Bryan, Paul London, Rey Mysterio, Matt Hardy, Ultimo Dragon and many great names / Having HORRIBLE years like the '80s, 1993, 1995, 1996, 1997, 2009, 2010, 2012, 2015 / the horrible later years despite arguably their BEST roster of all time, while failing to make stars / pushing horrible names like Goldberg, Lesnar, Hogan, Roman, Nia Jax, JBL, Ultimate Warrior / using on the main event guys like Michaels and Hunter at their worst (even if they're great wrestlers) / getting repetitive really fast / booking horrible things and delivering dream matches with TERRIBLE results. What's reedemable about WWE despite the roster that they keep burying? There are too little of things and it's only thanks to the wrestlers, so I'm gonna rank them high on their page. But the writing and the production is horrible (their latest themes are so bad, it makes all of the wrestlers look like midcarders to me). I love wrestling and I hope WWE can get their stuff together, because they can deliver a good show every once in a while.""",Not a Mark,why a zero covering up jimmy snukas murder despite deleting chris benoit which is still the right choice but they still used jimmy and put him in the hof  covering up steve austins wifebeater stuff ignoring carlos colons past pushing every samoan even if they couldnt wrestle burying christian zack ryder daniel bryan paul london rey mysterio matt hardy ultimo dragon and many great names having horrible years like the  the horrible later years despite arguably their best roster of all time while failing to make stars pushing horrible names like goldberg lesnar hogan roman nia jax jbl ultimate warrior using on the main event guys like michaels and hunter at their worst even if theyre great wrestlers getting repetitive really fast booking horrible things and delivering dream matches with terrible results whats reedemable about wwe despite the roster that they keep burying there are too little of things and its only thanks to the wrestlers so im gonna rank them high on their page but the writing and the production is horrible their latest themes are so bad it makes all of the wrestlers look like midcarders to me i love wrestling and i hope wwe can get their stuff together because they can deliver a good show every once in a while,214
wwe,2022-02-18,4.0," ""This rating is based off of the current product today, which is full of pretty poor professional wrestling overall despite record profits.""",Not a Mark,this rating is based off of the current product today which is full of pretty poor professional wrestling overall despite record profits,22
wwe,2022-02-17,2.0,"""WWE did me and almost all the others to the wrestling fans we are today. I am grateful for the great childhood memories and so much more. But for several years this product is barely enduring and entertainment instead of per wrestling ...Excumnor Ala Saudi Arabia and layoffs hunt the next, for his fans you are not interested in anyway anymore. So many fans are constantly being able to look over the product but always look up ... I have stopped a few years ago, but have a lot of funthat it still likes. """,Not a Mark,wwe did me and almost all the others to the wrestling fans we are today i am grateful for the great childhood memories and so much more but for several years this product is barely enduring and entertainment instead of per wrestling excumnor ala saudi arabia and layoffs hunt the next for his fans you are not interested in anyway anymore so many fans are constantly being able to look over the product but always look up i have stopped a few years ago but have a lot of funthat it still likes,93
wwe,2022-02-08,,"""Conflicting company to rate because WWE is the reason I am a fan today. The Attitude Era and The Ruthless Agression Era bring back great memories even though there might have been a few things that age poorly, but I genuinely feel like these were great times for the WWE. I've actually been watching all of the shows from 2000 and still love most of the stuff from there. Not only does the product now suck, but the way they are firing some of their most talented wrestlers during a pandemic is just unforgivable. Yes the women's matches are much better and women like Becky Lynch and Charlotte F'air are deservedly finding themselves at the top of the card, but they are not the first company to push the women in this way. They are completely out of touch with the fans and with the current releases they must be awful to work for today. Even NXT, which was one of it's best shows has had a terrible revamp. Every time I try and watch a Raw episode today I just find the whole product insulatingly bad. Historically this would have easily been a 10 because for all the bad there was just so many iconic moments like Hogan slamming Andre, Austin v McMahon pushing the envelope, the countless classics from wrestlers like Bret Hart, Kurt Angle, Mr. Perfect, Shawn Michaels etc. Wrestlemania was THE show every star wanted to be a part of. Current product is morally a 0 and the reason I am not leaving a rating is that I find it impossible to separate the current product from the classic eras. The only positive for me is that it's roster is hugely talented and the in-ring qualty is good and sometimes even great without taking into account the horrendous booking, but without strong characters or good storytelling it's asking a lot to ask fans to care!""",,conflicting company to rate because wwe is the reason i am a fan today the attitude era and the ruthless agression era bring back great memories even though there might have been a few things that age poorly but i genuinely feel like these were great times for the wwe ive actually been watching all of the shows from and still love most of the stuff from there not only does the product now suck but the way they are firing some of their most talented wrestlers during a pandemic is just unforgivable yes the womens matches are much better and women like becky lynch and charlotte fair are deservedly finding themselves at the top of the card but they are not the first company to push the women in this way they are completely out of touch with the fans and with the current releases they must be awful to work for today even nxt which was one of its best shows has had a terrible revamp every time i try and watch a raw episode today i just find the whole product insulatingly bad historically this would have easily been a because for all the bad there was just so many iconic moments like hogan slamming andre austin v mcmahon pushing the envelope the countless classics from wrestlers like bret hart kurt angle mr perfect shawn michaels etc wrestlemania was the show every star wanted to be a part of current product is morally a and the reason i am not leaving a rating is that i find it impossible to separate the current product from the classic eras the only positive for me is that its roster is hugely talented and the inring qualty is good and sometimes even great without taking into account the horrendous booking but without strong characters or good storytelling its asking a lot to ask fans to care,316
wwe,2022-02-06,4.0," ""On the one hand WWE is the biggest company for so many fans the company they grew up with that made them fans. On the other hand no company has done more to hurt wrestling (even show shame at the term) then WWE. I really do feel in 2022 WWE's 3 TV show aren't just the worst wrestling shows on TV but the worst shows on all of TV for now its a 4 and that is me being nice""",Not a Mark,on the one hand wwe is the biggest company for so many fans the company they grew up with that made them fans on the other hand no company has done more to hurt wrestling even show shame at the term then wwe i really do feel in wwes tv show arent just the worst wrestling shows on tv but the worst shows on all of tv for now its a and that is me being nice,77
wwe,2022-02-01,1.0," ""I'm only basing my rating off of is the current product. It is baffling how a wrestling company can carry some of the biggest names in pro wrestling today and still manage to screw them up. WWE consistently goes out of their way to get absolutely no one over, and that is freaking miracle work considering what they have at their disposal. Dare I say it's impressive how god-awful WWE's product is. Their only saving grace is that they occasionally put on really good matches, but that's only if they give the talent enough time to craft something memorable, let alone stay out of the way with stupid finishes and booking decisions that would make any wrestling fan with a brain question why the hell we're even watching. It's no contest--WWE is without a doubt the worst mainstream company going today. Hell, some aspects of today's product mirror that of late 90s WCW. The total disconnect from the fans, the delusion that because they're still popular that means they'll stick around, the inevitable reality that the people who are on top will stay on top and those meddling in the midcard will get a spark at best. For every Fingerpoke of Doom, there's a Brock/Kofi squash. For every Nash beating Goldberg, there's a Goldberg beating the Fiend. For every Hogan world title reign, there's a Lesnar one. For every, ""That'll put some butts in the seats, "" there's a Royal Rumble '22 happening the same week as Cody vs. Sammy on free TV. What goes around comes around, I guess.""",Not a Mark,im only basing my rating off of is the current product it is baffling how a wrestling company can carry some of the biggest names in pro wrestling today and still manage to screw them up wwe consistently goes out of their way to get absolutely no one over and that is freaking miracle work considering what they have at their disposal dare i say its impressive how godawful wwes product is their only saving grace is that they occasionally put on really good matches but thats only if they give the talent enough time to craft something memorable let alone stay out of the way with stupid finishes and booking decisions that would make any wrestling fan with a brain question why the hell were even watching its no contestwwe is without a doubt the worst mainstream company going today hell some aspects of todays product mirror that of late wcw the total disconnect from the fans the delusion that because theyre still popular that means theyll stick around the inevitable reality that the people who are on top will stay on top and those meddling in the midcard will get a spark at best for every fingerpoke of doom theres a brockkofi squash for every nash beating goldberg theres a goldberg beating the fiend for every hogan world title reign theres a lesnar one for every thatll put some butts in the seats theres a royal rumble happening the same week as cody vs sammy on free tv what goes around comes around i guess,257
wwe,2022-01-27,4.0," ""Once you venture outside of WWE, you'll realize that the company has been pretty mediocre since the mid-late 2000s, sure there are some great wrestlers and great matches but in totality it's hard to say the product is anything better than meh over the past 15 years""",Not a Mark,once you venture outside of wwe youll realize that the company has been pretty mediocre since the midlate sure there are some great wrestlers and great matches but in totality its hard to say the product is anything better than meh over the past years,45
wwe,2022-01-27,4.0," ""I am giving this rating for a mean time judging on how awful their show is nowadays. Bad booking, same old champions, part-timer as champions, changing names, shortening names, senile old man running the show, destroying NXT, roll-ups, blood money deal, mass release of talents, etc. Men, is there anything worse than WWE. What happened to the old WWF/WWE, the Attitude Era that we cherished. It seems it will only get worse as long as Vince is still running the company. Then, we have some certified yes man like Bruce Prichard, Nick Khan and John Laurinaitis who even didn't care on their talents and they are just throwing them stuff that they didn't even do. WWE has got to be the worst wrestling promotion today. I don't want some E-drones to think that everything in WWE is bad. WWE has some good points like they know how to make a good documentary, although politicking it, WWE doing philanthropic work like Make-A-Wish, Be-A-Star, Conor's Cure, Susan G. Komen, etc. And the way they respected the troops by having them entertained during Christmas is amazing. But wrestling-wise, booking-wise, it's terrible, even a 10 year old could make a better storyline than their creative team that has no pro-wrestling background.""",Not a Mark,i am giving this rating for a mean time judging on how awful their show is nowadays bad booking same old champions parttimer as champions changing names shortening names senile old man running the show destroying nxt rollups blood money deal mass release of talents etc men is there anything worse than wwe what happened to the old wwfwwe the attitude era that we cherished it seems it will only get worse as long as vince is still running the company then we have some certified yes man like bruce prichard nick khan and john laurinaitis who even didnt care on their talents and they are just throwing them stuff that they didnt even do wwe has got to be the worst wrestling promotion today i dont want some edrones to think that everything in wwe is bad wwe has some good points like they know how to make a good documentary although politicking it wwe doing philanthropic work like makeawish beastar conors cure susan g komen etc and the way they respected the troops by having them entertained during christmas is amazing but wrestlingwise bookingwise its terrible even a year old could make a better storyline than their creative team that has no prowrestling background,206
wwe,2022-01-24,3.0," ""Pay Per Views have been solid in recent years, but their short term booking and soap opera format usually has skipping their main roster TV shows. They get a seven mostly because of 205 Live and the NXT shows, which are all excellent. 2022 EDIT: I havent been able to enjoy their product since 2019. I'm not sure who WWE is booking for, but it isn't for wrestling fans. Dropping them from 7 to 3.""",Not a Mark,pay per views have been solid in recent years but their short term booking and soap opera format usually has skipping their main roster tv shows they get a seven mostly because of live and the nxt shows which are all excellent edit i havent been able to enjoy their product since im not sure who wwe is booking for but it isnt for wrestling fans dropping them from to,70
wwe,2022-01-21,7.0," ""The company has been around for so long and has had so many ups and downs that its really hard to give a rating for it (I changed mine a few times already). Currently they aren't in their best period, a lot of bad backstage dealings (Saudi shows and releases) but they still have a lot of talent and some good stuff on TV. Paired with the amount of historic moments good and bad I think they average out to a 7""",Mark,the company has been around for so long and has had so many ups and downs that its really hard to give a rating for it i changed mine a few times already currently they arent in their best period a lot of bad backstage dealings saudi shows and releases but they still have a lot of talent and some good stuff on tv paired with the amount of historic moments good and bad i think they average out to a,81
wwe,2022-01-20,7.0," ""Modern-day WWE is a solid wrestling company with the potential for so much more. The in-ring action is great and there is a handful of great stars. There is a lack of quality in storytelling, things happen on the show with no further explanation or follow-up. There isn't really a big babyface to latch onto and root for, the heels are the coolest characters. NXT might've boosted the score for me but it's trending downward. If you go purely off history, this company may be an 8 or 9 but recently it's been nowhere near the great days of old. I'll try to revisit this score after Wrestlemania.""",Mark,modernday wwe is a solid wrestling company with the potential for so much more the inring action is great and there is a handful of great stars there is a lack of quality in storytelling things happen on the show with no further explanation or followup there isnt really a big babyface to latch onto and root for the heels are the coolest characters nxt mightve boosted the score for me but its trending downward if you go purely off history this company may be an or but recently its been nowhere near the great days of old ill try to revisit this score after wrestlemania,106
wwe,2022-01-16,,"""Big WWE fan. Started binge watching on Peacock from early matches I could find in the 70s. Currently in the year 2000, still keeping up to date with the current era. It has both good and bad times. But I'm a loyal fan. Love everything the WWE produces and thankful for the matches I've seen.""",,big wwe fan started binge watching on peacock from early matches i could find in the currently in the year still keeping up to date with the current era it has both good and bad times but im a loyal fan love everything the wwe produces and thankful for the matches ive seen,53
wwe,2022-01-15,10.0," ""WWE, although it has had bad times, has always had good wrestlers and matches, great pay-per-views and weekly TV shows It has been a part of my life since my childhood And it always entertains me""",Mark,wwe although it has had bad times has always had good wrestlers and matches great payperviews and weekly tv shows it has been a part of my life since my childhood and it always entertains me,36
wwe,2022-01-13,6.0," ""If you go off history alone, WWE is a 10/10. There's no doubt about that. But the booking and business moves Vince and Co have made over the past few years have left a black eye on the company that cannot be ignored. Used to love WWE, but now I don't even have WWE Network anymore for the first time since 2015.""",Not a Mark,if you go off history alone wwe is a theres no doubt about that but the booking and business moves vince and co have made over the past few years have left a black eye on the company that cannot be ignored used to love wwe but now i dont even have wwe network anymore for the first time since,60
wwe,2022-01-10,0.0," ""WWE for the past few years to put it quite simply does not make professional wrestling for me. They have an absolutely amazing roster of talent that features on telvision shows that are just frankly boring or uninteresting. The presentation of these great talents kills any interest I would otherwise have in watching them.""",Not a Mark,wwe for the past few years to put it quite simply does not make professional wrestling for me they have an absolutely amazing roster of talent that features on telvision shows that are just frankly boring or uninteresting the presentation of these great talents kills any interest i would otherwise have in watching them,54
wwe,2022-01-06,10.0," ""For historic impact on wrestling I think that there is not wrestling without wwe and I don't think you can give it anything other than a 10""",Mark,for historic impact on wrestling i think that there is not wrestling without wwe and i dont think you can give it anything other than a,26
wwe,2022-01-04,0.0," ""Three reasons why I'm giving this company a big fat zero: First, this company has released over a hundred wrestlers during the pandemic to appease shareholders. Second, it puts on state propaganda for the Saudi Arabian government. Third, the product itself is shite. Rage-inducing, talent-wasting shite. The workers of this company deserve so much better. I hope they get it one day.""",Not a Mark,three reasons why im giving this company a big fat zero first this company has released over a hundred wrestlers during the pandemic to appease shareholders second it puts on state propaganda for the saudi arabian government third the product itself is shite rageinducing talentwasting shite the workers of this company deserve so much better i hope they get it one day,62
wwe,2021-12-30,3.0," ""Despite doing financially better than ever and having the best production team, as a show itself they are at the lowest point in their history in my opinion. For having two main brands with 5 hours of television each week it feels they have the smallest roster ever. No wonder if they release talent every month now. So because of that we have the same and same matches every week. Nothing matters except their main storyline. Why do they need more than one writer for this' Because of these two factors their booking is pretty much either a circle or nonexistent. The matches itself are mostly solid but stylewise all the same. Theres is the typical WWE match formula they have for years.And 90 percent of tag Teams only exist to quickly split them up in a feud. From 2014 to 2019 they where involving great. They did a necessary brand split to make smackdown relevant again, made womens wrestling relevant and killed off that divas championschip and had the best time in their developmentbrand NXT with PPVs that surpassed the main show PPVs. But you could already see that something was going on when all the talent that got called up were booked into the ground. Why' Because Triple H brought up wrestlers who where already big when coming to NXT, but they where not ""Vince' guys"". He did not know what do to with them and lost interest very quickly. With NXT 2.0 everything is developing backwards. Big Sweaty Guys who are not ready are getting pushed like we live in the year 1991. I alrady know that Vince will quickly loose interest again because they can't either work or cutting proper promos. What a surprise with 2 years of in ring experience! With the release of B-Fab and then Hit row it really sums up that nobody in WWE has as Vision. Everything chaotically changes until the last minute before the show. Final score: 4 (for the main shows) -1 for their terrible developement brand = 3.0/10""",Not a Mark,despite doing financially better than ever and having the best production team as a show itself they are at the lowest point in their history in my opinion for having two main brands with hours of television each week it feels they have the smallest roster ever no wonder if they release talent every month now so because of that we have the same and same matches every week nothing matters except their main storyline why do they need more than one writer for this because of these two factors their booking is pretty much either a circle or nonexistent the matches itself are mostly solid but stylewise all the same theres is the typical wwe match formula they have for yearsand percent of tag teams only exist to quickly split them up in a feud from to they where involving great they did a necessary brand split to make smackdown relevant again made womens wrestling relevant and killed off that divas championschip and had the best time in their developmentbrand nxt with ppvs that surpassed the main show ppvs but you could already see that something was going on when all the talent that got called up were booked into the ground why because triple h brought up wrestlers who where already big when coming to nxt but they where not vince guys he did not know what do to with them and lost interest very quickly with nxt everything is developing backwards big sweaty guys who are not ready are getting pushed like we live in the year i alrady know that vince will quickly loose interest again because they cant either work or cutting proper promos what a surprise with years of in ring experience with the release of bfab and then hit row it really sums up that nobody in wwe has as vision everything chaotically changes until the last minute before the show final score for the main shows for their terrible developement brand,329
wwe,2021-12-23,2.0," ""I'm not even sure if WWE qualifies as a wrestling promotion anymore. It's more of an entertainment brand for NBC and FOX than anything else, and Nick Khan appears to be taking it more in that direction. It's sad but not surprising either considering the past 15-20 years of WWE.""",Not a Mark,im not even sure if wwe qualifies as a wrestling promotion anymore its more of an entertainment brand for nbc and fox than anything else and nick khan appears to be taking it more in that direction its sad but not surprising either considering the past years of wwe,49
wwe,2021-12-08,6.0,"""WWE still has its own Vibe, even if the product has actually become uninspublished and boring for years. WWE still manages to create cool moments and stars occasionally, but by no means more so constant how to expect it from the market leader, In addition, again morally questionable actions (discharge waves, saudi shows, etc.), which the company do not let the best light stand up. The shows are not always as bad as some fans they rate them, but from a good product (apart fromSmackdown maybe) not speech. (6/10) """,Not a Mark,wwe still has its own vibe even if the product has actually become uninspublished and boring for years wwe still manages to create cool moments and stars occasionally but by no means more so constant how to expect it from the market leader in addition again morally questionable actions discharge waves saudi shows etc which the company do not let the best light stand up the shows are not always as bad as some fans they rate them but from a good product apart fromsmackdown maybe not speech,88
wwe,2021-12-03,8.0," ""WWE's problem is... it got too big; swallowing promotions, overloading their talent roster and branching off in too many directions. They forgot what brought them to the dance... Wrestling! and while yes some of their offshoot promotions do have great Wrestling & Wrestlers, WWE's main show has been flagging recently with too many early call ups and half-hearted gimmicks that just don't get over. But WWE has been at this level of slumber before, and will no doubt bounce back in time.""",Mark,wwes problem is it got too big swallowing promotions overloading their talent roster and branching off in too many directions they forgot what brought them to the dance wrestling and while yes some of their offshoot promotions do have great wrestling wrestlers wwes main show has been flagging recently with too many early call ups and halfhearted gimmicks that just dont get over but wwe has been at this level of slumber before and will no doubt bounce back in time,81
wwe,2021-12-03,5.0,"""It's really hard to write a review. There is so much awesome, but also total Rotz. Without the WWE, Wrestling would no longer exist in today's form. But I do not rate here. Here's about the pure TV product, A very weak. Unfortunately, you will not feel like the WWE is not interested in your product. The main thing thick contracts and money from Saudi Arabia. The roster is strong, but shrinks through the constant layoffs and furtherBest product with NXT can now be created now. The titles are so little worth as never before and even on future stars is lacking. The WWE has brought me and probably all of us to the wrestling, but the product can not be done anymore""",Not a Mark,its really hard to write a review there is so much awesome but also total rotz without the wwe wrestling would no longer exist in todays form but i do not rate here heres about the pure tv product a very weak unfortunately you will not feel like the wwe is not interested in your product the main thing thick contracts and money from saudi arabia the roster is strong but shrinks through the constant layoffs and furtherbest product with nxt can now be created now the titles are so little worth as never before and even on future stars is lacking the wwe has brought me and probably all of us to the wrestling but the product can not be done anymore,123
