date,rating,comment_,mark?,comment_clean,total_words
2021-11-22,10.0," ""Impact Wrestling has been on a convincing up-swing for over the past half-decade. If people removed their negative bias, they'd recognize that. Hopefully, Anthem can invest more in their production and marketing and help get Impact on a channel more people can access. This stigma needs to be washed-off.""",Mark,impact wrestling has been on a convincing upswing for over the past halfdecade if people removed their negative bias theyd recognize that hopefully anthem can invest more in their production and marketing and help get impact on a channel more people can access this stigma needs to be washedoff,49
2021-10-11,,"""I think impact has been quite good as of late and the past reputation shouldn't define the future prospects.""",,i think impact has been quite good as of late and the past reputation shouldnt define the future prospects,19
2021-03-11,5.0," ""Even though it's been several years since IMPACT was essentially destroyed by the very men who killed WCW, I still find it incredibly difficult to care about what IMPACT is doing at any given time.""",Not a Mark,even though its been several years since impact was essentially destroyed by the very men who killed wcw i still find it incredibly difficult to care about what impact is doing at any given time,35
2021-10-23,8.0," ""I have been watching since 2010 and there is no doubt this company has had ups and downs and will likely continue to have ups and downs going forward. What Impact does best though is give opportunities to people that need it. They have always given women the opportunity they deserved, their X-Division has always shined when it mattered. For years people would get fired from WWE and go to Impact to get their momentum back and a lot of those guys are doing great things now. Impact in 2021 is a fine product that I still enjoy today. If you want a company that has decent to good wrestling and storytelling for their roster consistently, this is the company for you. Creativity strives in Impact.""",Mark,i have been watching since and there is no doubt this company has had ups and downs and will likely continue to have ups and downs going forward what impact does best though is give opportunities to people that need it they have always given women the opportunity they deserved their xdivision has always shined when it mattered for years people would get fired from wwe and go to impact to get their momentum back and a lot of those guys are doing great things now impact in is a fine product that i still enjoy today if you want a company that has decent to good wrestling and storytelling for their roster consistently this is the company for you creativity strives in impact,124
2021-09-17,10.0," ""I can't not give it a 10 just for what the X-Division did for modern wrestling and for what the Knockouts division was producing at a valley for North American women's wrestling""",Mark,i cant not give it a just for what the xdivision did for modern wrestling and for what the knockouts division was producing at a valley for north american womens wrestling,31
2021-09-13,5.0," ""It became one of the best promotions in the industry, but today it is in decline, its world champion does not even belong to its brand and you can see how the level of its shows and ratings go down.""",Not a Mark,it became one of the best promotions in the industry but today it is in decline its world champion does not even belong to its brand and you can see how the level of its shows and ratings go down,40
2021-09-13,,"""Impact Wrestling has been really fun and enjoyable since Scott D'Amore and Don Callis era, with a lot of new talent from the main event scene to midcard with most of them had a good booking and can have a good future with them.. I also really like X-Division match, especially since Josh Alexander reign, he always put a great match every single time he defend the X-Division title and maybe someday he will be the next Impact World Champion.. If you wanna give a chance, you maybe gonna enjoy what the new Impact Wrestling give every single week..""",,impact wrestling has been really fun and enjoyable since scott damore and don callis era with a lot of new talent from the main event scene to midcard with most of them had a good booking and can have a good future with them i also really like xdivision match especially since josh alexander reign he always put a great match every single time he defend the xdivision title and maybe someday he will be the next impact world champion if you wanna give a chance you maybe gonna enjoy what the new impact wrestling give every single week,99
2021-09-09,10.0," ""Impact Wrestling as a company has been on a journey worthy of its own movie trilogy or a whole series of novels. In 2021 the company is producing content and matches that surpasses their previous creative peak 2004-2006. Arguably Impact is the best booked major wrestling promotion in the world at time of writing, with consistent long term storytelling and clear logic. They have a young and hungry roster, sprinkled with a few older hands for balance. Unlike many rosters elsewhere everyone is used and is part of a story. Impact is still showing the industry how to book a women's division. Unfortunately for many older fans the historic mistakes of the promotion means they will always have poor reputation with them. The hope remains that newer fans give Impact a chance and enjoy the world class wrestling the company is putting out each and every week.""",Mark,impact wrestling as a company has been on a journey worthy of its own movie trilogy or a whole series of novels in the company is producing content and matches that surpasses their previous creative peak arguably impact is the best booked major wrestling promotion in the world at time of writing with consistent long term storytelling and clear logic they have a young and hungry roster sprinkled with a few older hands for balance unlike many rosters elsewhere everyone is used and is part of a story impact is still showing the industry how to book a womens division unfortunately for many older fans the historic mistakes of the promotion means they will always have poor reputation with them the hope remains that newer fans give impact a chance and enjoy the world class wrestling the company is putting out each and every week,145
2021-09-09,7.0,"""I've looked in now and then. Early certainly stronger, but they do really good work at the moment. Also benefit from cooperation with Aew. The Roster looks very good, young and dynamic. With the dismissed WWE wrestlers again2 corners got better. The Women's Division can also be seen. """,Mark,ive looked in now and then early certainly stronger but they do really good work at the moment also benefit from cooperation with aew the roster looks very good young and dynamic with the dismissed wwe wrestlers corners got better the womens division can also be seen,47
2021-08-23,10.0," ""I'm only rating Impact's run of 2021. Impact has been doing awesome this year, delivering its best in-ring action of years, and making stars like Moose, Matt Cardona, Ace Austin, and the best one in my opinion: Josh Alexander. Hell of a company right there we have, it's time for fans to see what Impact is doing right now.""",Mark,im only rating impacts run of impact has been doing awesome this year delivering its best inring action of years and making stars like moose matt cardona ace austin and the best one in my opinion josh alexander hell of a company right there we have its time for fans to see what impact is doing right now,58
2021-08-17,7.0," ""Impact's just one of those things that could've been a fairly big deal but mismanagement and a failure of booking killed them stone dead. This doesn't mean they haven't had some great years and some legendary talent (in particular their work on cruiserweights in the X-Division was revolutionary for Western promotions) but they've never had what I'd say a lasting legacy, namely functioning these days as a revolving door for talent from other places to get their name out there. 2004-2008 or 2009 was their best years in terms of consistent quality but man, they've had some STINKERS even in those years, holy crap. I rate them as high as this due to legacy: they've been bad for a while and the AEW stuff and Omega stinking up the main event didn't help things whatsoever. I'd rate them now a lot lower.""",Mark,impacts just one of those things that couldve been a fairly big deal but mismanagement and a failure of booking killed them stone dead this doesnt mean they havent had some great years and some legendary talent in particular their work on cruiserweights in the xdivision was revolutionary for western promotions but theyve never had what id say a lasting legacy namely functioning these days as a revolving door for talent from other places to get their name out there or was their best years in terms of consistent quality but man theyve had some stinkers even in those years holy crap i rate them as high as this due to legacy theyve been bad for a while and the aew stuff and omega stinking up the main event didnt help things whatsoever id rate them now a lot lower,140
2021-07-29,8.0," ""Ah yes, Impact Wrestling. Where do I begin with these guys? Well, to begin with, the promotion was always in constant turmoil. Poor booking or plain idiotic creative ideas turned this promotion upside down, even during the days when they could've been WWE's biggest competitor. Seemingly Impact's had more downs than ups, but whenever the promotion did well their product was always amazing to watch. Also, let's not forget all the talent they offered to the world of professional wrestling. The likes of Bobby Roode, Eric Young or the Motor City Machine Guns made a name for themselves in this promotion. All in all I enjoyed and still enjoy this company to this day, it's nice to tune in and see their current product too, even though I'm not sure how long they'll be able to stay afloat now that AEW is here.""",Mark,ah yes impact wrestling where do i begin with these guys well to begin with the promotion was always in constant turmoil poor booking or plain idiotic creative ideas turned this promotion upside down even during the days when they couldve been wwes biggest competitor seemingly impacts had more downs than ups but whenever the promotion did well their product was always amazing to watch also lets not forget all the talent they offered to the world of professional wrestling the likes of bobby roode eric young or the motor city machine guns made a name for themselves in this promotion all in all i enjoyed and still enjoy this company to this day its nice to tune in and see their current product too even though im not sure how long theyll be able to stay afloat now that aew is here,143
2021-07-07,7.0," ""Yeah NWA:TNA/TNA/GFW/Impact has been through a lot but they have produced lots of great moments throughout it's history. Plus, they have been on an upswing since Slammiversary 2018, which is great. The Knockouts and X-Division have always been great alternatives to similar divisions in other promotions. This is particularly true in the case of the Knockouts. Since it's inception, the Knockouts have always been fierce competitors and great characters. It's truly refreshing to see women's wrestling be prioritized in a time when other companies didn't value them or even bother having a female roster.""",Mark,yeah nwatnatnagfwimpact has been through a lot but they have produced lots of great moments throughout its history plus they have been on an upswing since slammiversary which is great the knockouts and xdivision have always been great alternatives to similar divisions in other promotions this is particularly true in the case of the knockouts since its inception the knockouts have always been fierce competitors and great characters its truly refreshing to see womens wrestling be prioritized in a time when other companies didnt value them or even bother having a female roster,93
2021-06-30,7.0," ""Been an off-and-on watcher of Impact from the weekly ppv days. It's fair to say they've had many ups & downs over the years with many times fighting for their very survival. Weekly PPV days I liked because there were little promos and more Wrestling, however Jarrett's reign of terror was horrible viewing. His fued build up with Monty Brown was one of the worst things I've ever seen. Dixie & Hogan was atrocious, every pal of Hogan's was brought in ""to help the show"" even Brooke Hogan! Horrible! Have been watching them a lot more recently, and are my favourite to watch weekly. Right now I think they chugging along nicely and put on very decent shows. and I personally don't have a problem with the no frills presentation during these times. The hook-up with AEW & some other promotions is also a bonus. My only real complaint is the recent dubbed in crowd effects, I really don't like them and had no problem with silence, got to hear some great trash talking, but oh well.""",Mark,been an offandon watcher of impact from the weekly ppv days its fair to say theyve had many ups downs over the years with many times fighting for their very survival weekly ppv days i liked because there were little promos and more wrestling however jarretts reign of terror was horrible viewing his fued build up with monty brown was one of the worst things ive ever seen dixie hogan was atrocious every pal of hogans was brought in to help the show even brooke hogan horrible have been watching them a lot more recently and are my favourite to watch weekly right now i think they chugging along nicely and put on very decent shows and i personally dont have a problem with the no frills presentation during these times the hookup with aew some other promotions is also a bonus my only real complaint is the recent dubbed in crowd effects i really dont like them and had no problem with silence got to hear some great trash talking but oh well,174
2021-06-17,7.0," ""How even do you rate Impact? NWA:TNA was, to be blunt, absolute garbage for the first couple years, aside from guys like Jerry Lynn and AJ Styles and Low Ki carrying the company on their backs with the X-Division. But as the years went by it slowly shifted away from being a carbon copy of WCW's twilight years to some actually very good programming by the late 00's. Then Hogan showed up. Like Bryan Alvarez famously said, TNA for some reason decided to hire all the people on the cover of The Death of WCW book. The Hogan/Bischoff experiment simply didn't work, mostly for the same reason WCW was really only popular and successful for about two or three years before it all fell apart. Then you had the Aces and Eights saga, which started off great but fizzled out with a whimper. Then the money issues really started happening and TNA seemed to be at risk of going out of business on almost a weekly basis. Billy Corgan, of all people, wound up taking the show over and honestly I really enjoyed this era of TNA, but we all know how messy that all turned out. Somehow the company still kept its head above water with the Anthem takeover, and cue the savior, Jeff Jarrett and the Global Force Wrestling merger, which lasted all of a few months before changing its name *again*, this time to simply Impact Wrestling and finally doing away with the ridiculous, juvenile TNA moniker. And then, finally, we have Don Callis and Scott D'Amore, who were able to get this company onto its feet again and produce relatively good programming on a consistent basis. So again, how do you even rate Impact? It's been through so many different forms and names and amalgamations over two decades that you could rate it a 0/10 or a 10/10 depending on what time period you're talking about. I feel like a 7 is fair, considering its many ups and downs but the recent stabilization as a pretty good indy fed that's not nearly as big as it was at one time but still making good content with a pretty good upside and a hopeful future looking forward now that the Forbidden Door has been opened.""",Mark,how even do you rate impact nwatna was to be blunt absolute garbage for the first couple years aside from guys like jerry lynn and aj styles and low ki carrying the company on their backs with the xdivision but as the years went by it slowly shifted away from being a carbon copy of wcws twilight years to some actually very good programming by the late then hogan showed up like bryan alvarez famously said tna for some reason decided to hire all the people on the cover of the death of wcw book the hoganbischoff experiment simply didnt work mostly for the same reason wcw was really only popular and successful for about two or three years before it all fell apart then you had the aces and eights saga which started off great but fizzled out with a whimper then the money issues really started happening and tna seemed to be at risk of going out of business on almost a weekly basis billy corgan of all people wound up taking the show over and honestly i really enjoyed this era of tna but we all know how messy that all turned out somehow the company still kept its head above water with the anthem takeover and cue the savior jeff jarrett and the global force wrestling merger which lasted all of a few months before changing its name again this time to simply impact wrestling and finally doing away with the ridiculous juvenile tna moniker and then finally we have don callis and scott damore who were able to get this company onto its feet again and produce relatively good programming on a consistent basis so again how do you even rate impact its been through so many different forms and names and amalgamations over two decades that you could rate it a or a depending on what time period youre talking about i feel like a is fair considering its many ups and downs but the recent stabilization as a pretty good indy fed thats not nearly as big as it was at one time but still making good content with a pretty good upside and a hopeful future looking forward now that the forbidden door has been opened,374
2021-03-22,6.0," ""Mid to late 2000s TNA has to be one of the more influential promotions in wrestling history, and was actually quite enjoyable with a strong X division, tag scene, and knockouts scene to compliment the big names they had brought in, but Impact has also definitely earned the stigma against it over the years.""",Not a Mark,mid to late tna has to be one of the more influential promotions in wrestling history and was actually quite enjoyable with a strong x division tag scene and knockouts scene to compliment the big names they had brought in but impact has also definitely earned the stigma against it over the years,53
2021-03-19,9.0," ""very enjoyable but have done some bad things in the past thats why it gets the hate it does today its one of the few us companies i enjoy at the moment they have some good matches and some decent segments""",Mark,very enjoyable but have done some bad things in the past thats why it gets the hate it does today its one of the few us companies i enjoy at the moment they have some good matches and some decent segments,41
2021-02-01,,"""Impact currently has a massive issue as to why it is so hard to watch and care right now about it, it's not the lackluster roster that barely has a top guy let alone a true star, it's not the financial situation or the brand recognition... it's the presentation of the show itself and by extension the management that doesn't know how to change it. The area they are using with no crowd is far too big, the camera angles they use aren't great, make it difficult to follow action and really emphasises the previous fact of large unfilled space. BUT the biggest factor as to why this show currently SUCKS is the commentary team, Josh Matthews has to be without a doubt the worst, most boring and charisma-void play by play caller ever. The only way I've managed to get through shows recently are by having them on mute.""",,impact currently has a massive issue as to why it is so hard to watch and care right now about it its not the lackluster roster that barely has a top guy let alone a true star its not the financial situation or the brand recognition its the presentation of the show itself and by extension the management that doesnt know how to change it the area they are using with no crowd is far too big the camera angles they use arent great make it difficult to follow action and really emphasises the previous fact of large unfilled space but the biggest factor as to why this show currently sucks is the commentary team josh matthews has to be without a doubt the worst most boring and charismavoid play by play caller ever the only way ive managed to get through shows recently are by having them on mute,150
2020-12-14,10.0," ""Loved Impact wrestling since I discovered it around 16 years ago. It helped me fall back in love with wrestling after stopping watching WWE.""",Mark,loved impact wrestling since i discovered it around years ago it helped me fall back in love with wrestling after stopping watching wwe,23
2020-08-12,8.0," ""TNA wrestling had gone downhill around 2015 or 2016. It had gotten bad, but they have improved again the last few years. At one point they even stopped having X-division matches, but thankfully that has come back and the X-division matches of the last few years have been really good. Impact wrestling has really improved since TNA when it was on Pop. I am enjoying Impact now on AXS TV and Twitch. Impact wrestling has really improved and been putting on awesome shows. Why is the NWA Title and NWA Tag Team Titles still listed with Impact wrestling? TNA was only working with NWA from 2002-2007. Impact wrestling (Formerly TNA) hasn't worked with the NWA since 2007.""",Mark,tna wrestling had gone downhill around or it had gotten bad but they have improved again the last few years at one point they even stopped having xdivision matches but thankfully that has come back and the xdivision matches of the last few years have been really good impact wrestling has really improved since tna when it was on pop i am enjoying impact now on axs tv and twitch impact wrestling has really improved and been putting on awesome shows why is the nwa title and nwa tag team titles still listed with impact wrestling tna was only working with nwa from impact wrestling formerly tna hasnt worked with the nwa since,113
2020-04-12,5.0," ""Before Impact became Impact, I remember them being called TNA. Oh boy... what a great promotion that was. Their best feature was definitely the acrobatics, tag teams, spectacular matches and former WWF legends living their second life there. Many great wrestlers had their best years there: Christopher Daniels, Austin Aries, AJ Styles and many more. Currently, this company is competing with other wrestling TV shows, but it's absolutely the worst. Their roster, their storylines, everything. It just sucks.""",Not a Mark,before impact became impact i remember them being called tna oh boy what a great promotion that was their best feature was definitely the acrobatics tag teams spectacular matches and former wwf legends living their second life there many great wrestlers had their best years there christopher daniels austin aries aj styles and many more currently this company is competing with other wrestling tv shows but its absolutely the worst their roster their storylines everything it just sucks,78
2020-01-12,10.0," ""Its the most consistent wrestling show going right now, every thing they do makes sense. TNA is dead, get over it. Its not a thing anymore. They've moved on and rebranded as something else. Love live Impact. Anyone in AEW or WWE are there likely because of Impact, modern day ECW in a way. Don Callis and Scott D'Amore have done a tremendous job.""",Mark,its the most consistent wrestling show going right now every thing they do makes sense tna is dead get over it its not a thing anymore theyve moved on and rebranded as something else love live impact anyone in aew or wwe are there likely because of impact modern day ecw in a way don callis and scott damore have done a tremendous job,64
2020-11-20,2.0," ""Yeah they used to be great & at some point they were my favourite promotion but right now Impact is by far the worst promotion I've ever watched. The last great match they've had was 2 years ago Callihan vs Penta! What a joke of a promotion.""",Not a Mark,yeah they used to be great at some point they were my favourite promotion but right now impact is by far the worst promotion ive ever watched the last great match theyve had was years ago callihan vs penta what a joke of a promotion,45
2020-12-11,4.0," ""Lots of legendary matches and stars made here, also a lot of bad booking and bad years here, TNA could of been something incredible, and sometimes it was, but overall it's a flop""",Not a Mark,lots of legendary matches and stars made here also a lot of bad booking and bad years here tna could of been something incredible and sometimes it was but overall its a flop,33
2020-10-30,7.0," ""Assets: Was, at one point, the second-largest wrestling promotion in North America. Innovated the way that women's and cruiserweight wrestling was promoted thanks to their Knockout and X Divisions (respectively. ) Has the power to draw in big name talent and benefits from its relationship with a broadcaster to remain on television. - - - Flaws: A sustained decline in their creative and business practices devolved the previous value of the brand - Only now is it genuinely building back up again. Their current domestic broadcast doesn't have the same audience reach as of some of its competitors. Need to develop their own homegrown talent (as they did in the past) instead of being overly reliant on talent from other promotions (as they often do today. ) - - - Promotion Potential: Minor league wrestling promotion with national league upside.""",Mark,assets was at one point the secondlargest wrestling promotion in north america innovated the way that womens and cruiserweight wrestling was promoted thanks to their knockout and x divisions respectively has the power to draw in big name talent and benefits from its relationship with a broadcaster to remain on television  flaws a sustained decline in their creative and business practices devolved the previous value of the brand only now is it genuinely building back up again their current domestic broadcast doesnt have the same audience reach as of some of its competitors need to develop their own homegrown talent as they did in the past instead of being overly reliant on talent from other promotions as they often do today promotion potential minor league wrestling promotion with national league upside,131
2020-06-10,10.0," ""This 10 is pretty symbolic. In a world asphyxiated by the pandemic with the competition among the promotions based on how a federation can overcome the audience limitations or worst, with a WWE recycling old names to put on good shows, AEW that, aside from the very high quality of their undisputed product, is the nowadays trend... Impact is still there! With a lot of good matches, always (almost... ) good stories, no lack scriptures or anything like that. Interesting World Champion in EY, good ol' MCMG as Tag Champs, the X-Division scenario with many characters builded up, great Knockout division and a enjoyable variety of show. In this crazy times, the n. 3 of US is doing very well imho.""",Mark,this is pretty symbolic in a world asphyxiated by the pandemic with the competition among the promotions based on how a federation can overcome the audience limitations or worst with a wwe recycling old names to put on good shows aew that aside from the very high quality of their undisputed product is the nowadays trend impact is still there with a lot of good matches always almost good stories no lack scriptures or anything like that interesting world champion in ey good ol mcmg as tag champs the xdivision scenario with many characters builded up great knockout division and a enjoyable variety of show in this crazy times the n of us is doing very well imho,118
2020-06-10,6.0,"""Impact I followed at the beginning of 2010 and really liked me. Unfortunately, I find no access to today's product, which is on the one hand to the stories, but also to the superstars.""",Not a Mark,impact i followed at the beginning of and really liked me unfortunately i find no access to todays product which is on the one hand to the stories but also to the superstars,33
2020-09-18,10.0," ""Impact has returned to being absolutely fantastic and an excellent alternative. The problem is, a lot of people either won't give it a chance because of the company's past, or will simply dislike it because of popular internet opinion. While they lack super, super big names like they used to have back in the day, there's something for everyone, and the women's division in particular is an incredible highlight which never disappoints.""",Mark,impact has returned to being absolutely fantastic and an excellent alternative the problem is a lot of people either wont give it a chance because of the companys past or will simply dislike it because of popular internet opinion while they lack super super big names like they used to have back in the day theres something for everyone and the womens division in particular is an incredible highlight which never disappoints,72
2020-09-16,6.0," ""I give it a 6 just because i absolutely loved TNA. At the time, it was the first ""non-WWE"" product i watched, and it felt awesome. The Golden Era. Nowadays, i simply can not get engaged. I watched Slammiversary hoping for a new beginning, but it quickly faded. I hope in their success, because of my nostalgia.""",Not a Mark,i give it a just because i absolutely loved tna at the time it was the first nonwwe product i watched and it felt awesome the golden era nowadays i simply can not get engaged i watched slammiversary hoping for a new beginning but it quickly faded i hope in their success because of my nostalgia,56
2020-07-22,8.0," ""Impact has been consistently great for the past couple of years but unfortunately they never fully recovered from the Ls they took in the past. Hopefully all the new signees will help bring more eyes to Impact and will be taken seriously again.""",Mark,impact has been consistently great for the past couple of years but unfortunately they never fully recovered from the ls they took in the past hopefully all the new signees will help bring more eyes to impact and will be taken seriously again,43
2020-06-18,10.0," ""Promotion that has best characters since ECW. I think their storylines more unusual and unique than any promotion in the business. Also fans are really loyal with them.""",Mark,promotion that has best characters since ecw i think their storylines more unusual and unique than any promotion in the business also fans are really loyal with them,28
2020-06-01,7.0,"""A promotion with a big history. Although there are always heights and deep still I found the product always considerable. If you look at anyone who has risen here everything in the ring and what top stars has produced this promotion for me there is no doubt thatImpact due to the past is definitely a strong promotion. Currently, they also provide a very stable product again which hopefully continues. """,Mark,a promotion with a big history although there are always heights and deep still i found the product always considerable if you look at anyone who has risen here everything in the ring and what top stars has produced this promotion for me there is no doubt thatimpact due to the past is definitely a strong promotion currently they also provide a very stable product again which hopefully continues,69
2019-10-12,9.0,"""9 points for the whole league and overall. Of course, the league also had a lot of deeply but it's already strong what they deliver to the many co-events with other leagues, which increases the quality again with events. Even if many TNA legendsMissing the current roster is also very strong. What Impact distinguished from the WWE is very serious and speaks the adult wrestling audience. """,Mark,points for the whole league and overall of course the league also had a lot of deeply but its already strong what they deliver to the many coevents with other leagues which increases the quality again with events even if many tna legendsmissing the current roster is also very strong what impact distinguished from the wwe is very serious and speaks the adult wrestling audience,65
2019-11-28,10.0," ""2019 has been a great year for Impact, great PPVs and a lot of creativity as always. The only different show in pro wrestling. The only show that I just can? t stop watching. Whatever happens impact still has me caught up there with their show.""",Mark,has been a great year for impact great ppvs and a lot of creativity as always the only different show in pro wrestling the only show that i just can t stop watching whatever happens impact still has me caught up there with their show,45
2019-11-21,8.0,"""TNA was the hammer between 2006 and 2009. Remember me how I saw it at my grandma in the evening at Eurosport at the time. At that time it would prefer at the time as the Wwe. From 2010 it was largely the last dirt. 8 points forThe childhood memory """,Mark,tna was the hammer between and remember me how i saw it at my grandma in the evening at eurosport at the time at that time it would prefer at the time as the wwe from it was largely the last dirt points forthe childhood memory,46
2019-10-20,5.0," ""Impact has phenomenal athletes and a storyline that displays effort. It feels professional just like WWE and even offers free weekly shows. The only downside is the matches feel quickened and restrained as if the wrestling is intetionally watered down to build hype for the PPVs and this doesnt do the weekly shows justice. You must have twitch to see full shows, or matches for that matter, for free.""",Not a Mark,impact has phenomenal athletes and a storyline that displays effort it feels professional just like wwe and even offers free weekly shows the only downside is the matches feel quickened and restrained as if the wrestling is intetionally watered down to build hype for the ppvs and this doesnt do the weekly shows justice you must have twitch to see full shows or matches for that matter for free,69
2019-08-26,,"""Simply excellent, they look more and farther the dark days of Dixieland, it has cost them but they have risen, I just hope they leave Purshit Channel soon""",,simply excellent they look more and farther the dark days of dixieland it has cost them but they have risen i just hope they leave purshit channel soon,28
2019-11-08,10.0," ""Impact is really awesome. I hate how people are still not noticing the big changes impact has done. The wrestling is on the highest level and the storylines are always interesting. I love IMPACT""",Mark,impact is really awesome i hate how people are still not noticing the big changes impact has done the wrestling is on the highest level and the storylines are always interesting i love impact,34
